Time,Heart Rate,Steps,Phase
12:48:00,96,0,Inactive
12:49:00,99,10,Inactive
12:50:00,110,7,Inactive
12:51:00,95,0,Inactive
12:52:00,94,0,Inactive
12:53:00,93,0,Inactive
12:54:00,90,0,Inactive
12:55:00,88,0,Inactive
12:56:00,91,7,Inactive
12:57:00,86,0,Inactive
12:58:00,85,0,Inactive
12:59:00,85,0,Inactive
13:00:00,85,0,Inactive
13:01:00,98,34,Inactive
13:02:00,112,47,Inactive
13:03:00,105,6,Inactive
13:04:00,71,0,Inactive
13:05:00,71,0,Inactive
13:06:00,72,0,Inactive
13:07:00,73,0,Inactive
13:08:00,73,0,Inactive
13:09:00,77,0,Inactive
13:10:00,73,0,Inactive
13:11:00,73,0,Inactive
13:12:00,73,0,Inactive
13:13:00,77,0,Inactive
13:14:00,87,6,Inactive
13:15:00,78,0,Inactive
13:16:00,85,0,Inactive
13:17:00,77,0,Inactive
13:18:00,82,0,Inactive
13:19:00,77,0,Inactive
13:20:00,91,7,Inactive
13:21:00,90,0,Inactive
13:22:00,85,0,Inactive
13:23:00,95,0,Inactive
13:24:00,95,0,Inactive
13:25:00,84,0,Inactive
13:26:00,85,9,Inactive
13:27:00,80,0,Inactive
13:28:00,76,0,Inactive
13:29:00,81,0,Inactive
13:30:00,75,0,Inactive
13:31:00,91,0,Inactive
13:32:00,96,14,Inactive
13:33:00,84,0,Inactive
13:34:00,102,35,Inactive
13:35:00,73,0,Inactive
13:36:00,68,0,Inactive
13:37:00,74,0,Inactive
13:38:00,74,0,Inactive
13:39:00,77,8,Inactive
13:40:00,67,0,Inactive
13:41:00,72,0,Inactive
13:42:00,73,0,Inactive
13:43:00,74,0,Inactive
13:44:00,74,0,Inactive
13:45:00,76,0,Inactive
13:46:00,70,0,Inactive
13:47:00,70,0,Inactive
13:48:00,72,0,Inactive
13:49:00,83,0,Inactive
13:50:00,72,0,Inactive
13:51:00,73,0,Inactive
13:52:00,70,0,Inactive
13:53:00,82,0,Inactive
13:54:00,72,0,Inactive
13:55:00,69,0,Inactive
13:56:00,75,0,Inactive
13:57:00,71,0,Inactive
13:58:00,76,0,Inactive
13:59:00,78,0,Inactive
14:00:00,74,0,Inactive
14:01:00,78,0,Inactive
14:02:00,70,0,Inactive
14:03:00,75,0,Inactive
14:04:00,68,0,Inactive
14:05:00,74,0,Inactive
14:06:00,83,0,Inactive
14:07:00,80,0,Inactive
14:08:00,89,20,Inactive
14:09:00,95,6,Inactive
14:10:00,96,26,Inactive
14:11:00,104,7,Inactive
14:12:00,98,0,Inactive
14:13:00,112,15,Inactive
14:14:00,78,0,Inactive
14:15:00,71,0,Inactive
14:16:00,68,0,Inactive
14:17:00,64,0,Inactive
14:18:00,64,0,Inactive
14:19:00,70,0,Inactive
14:20:00,68,0,Inactive
14:21:00,72,0,Inactive
14:22:00,77,0,Inactive
14:23:00,79,0,Inactive
14:24:00,80,0,Inactive
14:25:00,75,0,Inactive
14:26:00,74,0,Inactive
14:27:00,71,0,Inactive
14:28:00,76,0,Inactive
14:29:00,77,0,Inactive
14:30:00,72,0,Inactive
14:31:00,77,0,Inactive
14:32:00,73,0,Inactive
14:33:00,75,0,Inactive
14:34:00,72,4,Inactive
14:35:00,74,0,Inactive
14:36:00,72,0,Inactive
14:37:00,81,0,Inactive
14:38:00,80,0,Inactive
14:39:00,74,0,Inactive
14:40:00,73,0,Inactive
14:41:00,70,0,Inactive
14:42:00,76,6,Inactive
14:43:00,71,2,Inactive
14:44:00,76,6,Inactive
14:45:00,71,0,Inactive
14:46:00,64,0,Inactive
14:47:00,63,0,Inactive
14:48:00,69,0,Inactive
14:49:00,63,0,Inactive
14:50:00,67,0,Inactive
14:51:00,78,0,Inactive
14:52:00,69,0,Inactive
14:53:00,66,0,Inactive
14:54:00,71,0,Inactive
14:55:00,71,0,Inactive
14:56:00,70,0,Inactive
14:57:00,76,0,Inactive
14:58:00,74,9,Inactive
14:59:00,88,0,Inactive
15:00:00,79,6,Inactive
15:01:00,78,0,Inactive
15:02:00,81,0,Inactive
15:03:00,83,0,Inactive
15:04:00,72,0,Inactive
15:05:00,71,0,Inactive
15:06:00,71,0,Inactive
15:07:00,73,0,Inactive
15:08:00,70,0,Inactive
15:09:00,71,0,Inactive
15:10:00,73,0,Inactive
15:11:00,79,0,Inactive
15:12:00,70,0,Inactive
15:13:00,70,0,Inactive
15:14:00,73,0,Inactive
15:15:00,80,4,Inactive
15:16:00,84,3,Inactive
15:17:00,79,0,Inactive
15:18:00,89,29,Inactive
15:19:00,79,15,Inactive
15:20:00,93,23,Inactive
15:21:00,92,0,Inactive
15:22:00,93,24,Inactive
15:23:00,77,0,Inactive
15:24:00,73,0,Inactive
15:25:00,68,0,Inactive
15:26:00,67,0,Inactive
15:27:00,70,0,Inactive
15:28:00,89,28,Inactive
